 Year,Make,Vehicle Class,Engine_Size_L,Cylinders,Transmission,Fuel_Type,FC_City ,FC_Hwy,FC_Comb,Comb_mpg,CO2_Emissions,CO2_Rating,Smog_Rating
2021,BMW,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
2021,BMW,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
2021,BMW,Midsize,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
2021,BMW,Midsize,4.4,8,AS8,Z,16,11,13.8,20,323,3,3
2021,BMW,Subcompact,4.4,8,AS8,Z,14,9.7,12,24,281,4,3
2021,BMW,Subcompact,4.4,8,AS8,Z,13.5,9.5,11.7,24,272,4,3
2021,BMW,Midsize,4.4,8,AS8,Z,14,9.7,12,24,281,4,3
2021,BMW,SUVSmall,2,4,AS8,Z,10.3,7.7,9.1,31,213,5,7
2021,BMW,SUVSmall,2,4,AS8,Z,9.8,7.5,8.8,32,205,6,7
2021,BMW,SUVSmall,2,4,AS8,Z,10,7.7,8.9,32,209,5,7
2021,BMW,SUVSmall,2,4,AS8,Z,10.2,8.2,9.3,30,217,5,7
2021,BMW,SUVSmall,3,6,AS8,Z,16.6,12.1,14.6,19,339,2,3
2021,BMW,SUVSmall,3,6,AS8,Z,16.6,12.1,14.6,19,339,2,3
2021,BMW,SUVSmall,3,6,AS8,Z,11.3,8.7,10.1,28,235,5,5
2021,BMW,SUVSmall,2,4,AS8,Z,10.2,8.2,9.3,30,217,5,7
2021,BMW,SUVSmall,3,6,AS8,Z,16.6,12.1,14.6,19,339,2,3
2021,BMW,SUVSmall,3,6,AS8,Z,16.6,12.1,14.6,19,339,2,3
2021,BMW,SUVSmall,3,6,AS8,Z,11.3,8.7,10.1,28,235,5,5
2021,BMW,SUVStandard,3,6,AS8,Z,11.4,9.2,10.4,27,242,5,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,17.9,13,15.7,18,364,2,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,17.9,13,15.7,18,364,2,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,14.4,10.6,12.7,22,302,3,3
2021,BMW,SUVStandard,3,6,AS8,Z,11.4,9.2,10.4,27,242,5,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,17.9,13,15.7,18,364,2,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,17.9,13,15.7,18,364,2,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,14.4,10.6,12.7,22,302,3,3
2021,BMW,SUVStandard,3,6,AS8,Z,12.1,9.8,11.1,25,256,4,3
2021,BMW,SUVStandard,4.4,8,AS8,Z,15.7,11.5,13.8,20,321,3,3
2021,BMW,Twoseater,2,4,AS8,Z,9.4,7.3,8.4,34,197,6,7
2021,BMW,Twoseater,3,6,AS8,Z,10.7,8,9.5,30,221,5,5
2021,Bugatti,Twoseater,8,16,AM7,Z,26.8,16.6,22.2,13,522,1,1
2021,Bugatti,Twoseater,8,16,AM7,Z,30.3,20.9,26.1,11,608,1,1
2021,Buick,SUVStandard,3.6,6,A9,X,13,9.1,11.2,25,264,4,6
2021,Buick,SUVStandard,3.6,6,A9,X,13.6,9.6,11.8,24,277,4,6
2021,Buick,SUVSmall,1.4,4,AS6,X,9.4,7.8,8.7,32,204,6,5
2021,Buick,SUVSmall,1.4,4,AS6,X,9.7,7.3,8.6,33,203,6,7
2021,Buick,SUVSmall,1.4,4,AS6,X,10,8,9.1,31,214,5,5
2021,Buick,SUVSmall,1.4,4,AS6,X,10.2,7.7,9.1,31,214,5,7
2021,Buick,SUVSmall,1.2,3,AV,X,8.4,7.5,8,35,188,6,7
2021,Buick,SUVSmall,2,4,AS9,X,10,7.6,8.9,32,209,5,7
2021,Buick,SUVSmall,2,4,AS9,X,10.5,8.2,9.5,30,222,5,7
2021,Cadillac,Compact,2,4,AS8,Z,10.1,6.8,8.7,32,203,6,6
2021,Cadillac,Compact,2.7,4,AS10,Z,11,7.6,9.5,30,221,5,6
2021,Cadillac,Compact,2,4,AS8,Z,10.4,7.4,9.1,31,213,5,6
2021,Cadillac,Compact,2.7,4,AS10,Z,11.4,8.2,9.9,29,232,5,6
2021,Cadillac,Compact,2.7,4,AS10,Z,11.5,8.2,10,28,234,5,6
2021,Cadillac,Compact,2.7,4,AS10,Z,11.7,8.4,10.2,28,239,5,6
2021,Cadillac,Midsize,2,4,AS10,Z,10.4,7.3,9,31,209,5,6
2021,Cadillac,Midsize,3,6,AS10,Z,12.3,8.5,10.6,27,249,4,5
2021,Cadillac,Midsize,2,4,AS10,Z,11,7.7,9.5,30,242,5,6
2021,Cadillac,Midsize,3,6,AS10,Z,12.7,9.1,11.1,25,260,4,5
2021,Cadillac,Midsize,3,6,AS10,Z,12.7,8.7,10.9,26,256,4,5
2021,Cadillac,Midsize,3,6,AS10,Z,12.7,9.1,11.1,25,260,4,5
2021,Cadillac,SUVStandard,3,6,A10,D,12,8.9,10.6,27,277,4,3
